"Row.names","hypermean","nothypermean","ttest_pval","log2_hyper_v_nothyper","wilcox_pval","cohens","deseq_pval","deseq_log2","epi_04_um_300s_pval","epi_04um_300s_spearman","epi_04_um_300s_HYPER_pval","epi_04um_300s_HYPER_spearman","overlapgroup","GOIup","GOIdown"
"PPP6R2",376.546713127863,229.281021578736,0.16289253049444,0.715711909166369,0.0953338480002953,0.581454176881808,0.0308487005354189,0.622018149103832,0.00708336812704755,0.291768839819789,0.000944517620514745,0.308253294733718,"deseq_sig;epicorrALL_sig",NA,NA
"PPT1",223.566924096301,373.670901444809,0.132649093756337,-0.741061459786844,0.948850522451495,0.236564894265019,0.0198717997411531,-0.883888606271508,0.2043275543397,0.1399080410912,0.112281548319079,0.150886170545999,"deseq_sig",NA,NA
"PPT2",345.613358357509,293.137805652958,0.09536561217988,0.237579937634386,0.0741773877652223,0.438130366113656,0.0417475043253663,0.340242538031761,0.130766776410289,0.16621423734908,0.18929830002461,0.124949539327222,"deseq_sig",NA,NA
"PPWD1",21.8825524162265,47.5918213452872,0.0122575396513126,-1.12093264146158,0.184547596180335,0.434229393436777,0.00422562734533051,-1.55893303078297,0.560005467871848,-0.0644924233101781,0.769826001382532,-0.0279565619487523,"deseq_sig",NA,NA
"PRAF2",221.938911722538,177.528756010409,0.0269099313388214,0.322109901561782,0.00751917944447,0.544996159958636,0.119114592663217,0.261372828100764,0.0115437814096021,0.27438669396745,0.00152965949099286,0.296021936608309,"wilcox_sig;epicorrALL_sig",NA,NA
"PRCP",64.957794718064,131.529755867542,0.0137039508207132,-1.01781465639144,0.0161442717964196,0.405962207972043,0.00050249393756915,-1.18582379232329,0.903192129036979,0.0134721759811248,0.960244224400863,-0.00476352228775097,"wilcox_sig;deseq_sig",NA,NA
"PRDM2",67.7585848228926,95.1610789498678,0.0169399448388716,-0.489967885870541,0.184914700254628,0.476433861314216,0.00949392745512309,-0.61095710597605,0.971331177868663,-0.003980876060588,0.8158732255963,0.0222497076902306,"deseq_sig",NA,NA
"PRDX1",89.2570140066694,124.417058926669,0.0228362495880419,-0.47914685938578,0.398308471014949,0.419448297072713,0.0101403191984628,-0.611100562000324,0.502949627243291,-0.0740969678961864,0.462519694499413,-0.0701241747364524,"deseq_sig",NA,NA
"PRDX2",66.1216632063677,136.35498043507,0.151564037490696,-1.0441724770276,0.435096804530747,0.227181886702765,0.000323220943708468,-1.76885953599155,0.630557004499523,-0.053235623530255,0.742438481091793,-0.031396793120104,"deseq_sig",NA,NA
"PRDX2P3",10.3538961375681,16.5838783264476,0.0115936828612463,-0.679607685389045,0.0479311107639186,0.563885357953918,0.245378386314761,-0.402682406699449,0.0298768363935324,-0.237116562345728,0.00751725485193597,-0.251328146097357,"wilcox_sig;epicorrALL_sig",NA,NA
